id,correcta,puntaje_obtenido,pregunta_id,respuesta_id,quizUser_id,nombreUser_id,uso_ayuda,dificultad,tiempo_pregunta
824,1,3,33,90,111,111,1,3,69
825,1,2,15,38,111,111,1,2,134
826,1,1,12,31,111,111,0,1,89
827,1,1,2,5,111,111,0,1,148
828,1,1,6,15,111,111,1,1,98
829,1,1,7,18,111,111,0,1,161
830,1,1,9,21,111,111,0,1,101
831,1,1,8,19,111,111,0,1,167
832,1,1,3,7,111,111,1,1,123
833,1,1,18,46,112,112,0,1,8
834,1,2,21,55,112,112,0,2,6
835,1,2,21,55,112,112,0,2,6
836,1,3,24,66,112,112,0,3,13
837,1,3,29,78,112,112,0,3,11
838,1,3,35,95,112,112,0,3,18
839,1,3,35,95,112,112,0,3,18
840,1,3,27,73,112,112,0,3,17
841,1,3,25,67,112,112,0,3,35
842,1,3,23,63,112,112,0,3,25
843,1,3,33,90,112,112,0,3,41
844,1,3,34,93,112,112,0,3,30
845,1,1,4,11,112,112,0,1,46
846,1,2,32,87,112,112,0,2,35
847,1,1,8,19,112,112,0,1,69
848,1,2,15,38,112,112,0,2,59
849,1,2,11,27,112,112,0,2,77
850,1,1,14,36,112,112,0,1,67
851,1,2,28,77,112,112,0,2,86
852,1,1,17,43,112,112,0,1,74
853,1,2,15,38,113,113,1,2,24
854,1,1,9,21,113,113,0,1,6
855,1,2,10,24,113,113,0,2,30
856,1,3,35,95,113,113,1,3,20
857,1,2,20,53,113,113,0,2,36
858,1,3,34,93,113,113,0,3,29
859,1,3,25,67,113,113,0,3,43
860,1,3,33,90,113,113,0,3,40
861,1,3,23,63,113,113,1,3,58
862,1,2,11,27,113,113,0,2,50
863,1,3,27,73,113,113,0,3,64
864,1,3,24,66,113,113,0,3,58
865,1,3,29,78,113,113,0,3,72
866,1,2,13,32,113,113,0,2,67
867,1,2,31,84,113,113,0,2,84
868,1,1,16,42,113,113,0,1,82
869,1,1,4,11,113,113,0,1,98
870,1,1,17,43,113,113,0,1,92
871,1,1,12,31,113,113,1,1,111
872,1,1,18,46,113,113,0,1,110
1107,1,1,8,19,128,128,1,1,16
1108,1,1,4,11,128,128,0,1,18
1109,1,2,11,27,128,128,1,2,31
1110,1,1,30,83,128,128,1,1,34
1111,1,1,14,36,128,128,1,1,47
1112,1,1,18,46,128,128,0,1,41
1113,1,2,22,58,128,128,0,2,59
1114,1,3,33,90,128,128,1,3,51
1115,1,2,26,69,128,128,1,2,70
1116,1,1,9,21,128,128,0,1,57
1117,1,2,5,13,128,128,1,2,77
1118,1,1,1,1,128,128,1,1,68
1119,1,1,16,42,128,128,0,1,86
1120,1,1,17,43,128,128,0,1,82
1121,1,1,6,15,128,128,1,1,95
1122,1,1,7,18,128,128,1,1,90
1123,1,1,19,49,128,128,1,1,112
1124,1,1,2,5,128,128,0,1,97
1125,1,1,12,31,128,128,1,1,119
1126,1,1,3,7,128,128,0,1,104
1127,0,0,2,6,129,129,1,1,6
1128,1,1,19,49,129,129,0,1,14
1129,1,2,15,38,129,129,0,2,10
1130,1,3,27,73,129,129,0,3,18
1131,1,3,29,78,129,129,0,3,14
1132,1,3,33,90,129,129,1,3,24
1133,0,0,21,56,129,129,0,2,23
1134,1,1,3,7,129,129,0,1,27
1135,0,0,11,29,129,129,0,2,32
1136,0,0,16,41,129,129,0,1,39
1137,0,0,9,22,129,129,0,1,47
1138,0,0,7,16,129,129,0,1,42
1139,0,0,6,14,129,129,0,1,52
1140,0,0,1,2,129,129,0,1,45
1141,1,1,18,46,129,129,0,1,59
1142,0,0,31,85,129,129,0,2,48
1143,0,0,30,81,129,129,0,1,63
1144,1,1,8,19,129,129,0,1,51
1145,0,0,22,60,129,129,0,2,68
1146,1,1,14,36,129,129,1,1,63
1147,1,1,4,11,130,130,0,1,99
1148,1,1,30,83,130,130,0,1,16
1149,1,2,15,38,130,130,1,2,123
1150,1,1,3,7,130,130,0,1,25
1151,1,2,28,77,130,130,1,2,200
1152,1,1,8,19,130,130,1,1,43
1153,1,1,19,49,130,130,1,1,226
1154,1,1,2,5,130,130,0,1,63
1155,1,2,31,84,130,130,1,2,248
1156,1,1,16,42,130,130,1,1,81
1157,1,1,7,18,130,130,1,1,291
1158,1,1,18,46,130,130,1,1,103
1159,1,1,6,15,130,130,1,1,348
1160,1,1,9,21,130,130,1,1,118
1161,1,1,14,36,130,130,1,1,382
1162,1,1,1,1,130,130,1,1,132
1163,1,1,12,31,130,130,1,1,395
1164,1,1,17,43,130,130,0,1,397
1165,1,3,27,73,130,130,1,3,414
1166,1,2,20,53,130,130,1,2,411
1167,1,1,4,11,131,131,1,1,46
1168,1,1,1,1,131,131,1,1,38
1169,1,1,17,43,131,131,1,1,81
1170,1,1,2,5,131,131,1,1,66
1171,1,1,19,49,131,131,1,1,111
1172,1,1,14,36,131,131,1,1,91
1173,1,1,18,46,131,131,1,1,140
1174,1,1,12,31,131,131,1,1,114
1175,1,1,3,7,131,131,1,1,163
1176,1,1,7,18,131,131,1,1,137
1177,1,1,16,42,131,131,1,1,193
1178,1,1,9,21,131,131,1,1,162
1179,1,1,6,15,131,131,1,1,213
1180,1,1,30,83,131,131,1,1,194
1181,1,1,8,19,131,131,1,1,232
1182,1,3,25,67,131,131,1,3,215
1183,1,2,5,13,131,131,1,2,256
1184,1,2,28,77,131,131,1,2,251
1185,0,0,10,26,131,131,0,2,259
1186,1,3,24,66,131,131,0,3,259
1187,0,0,28,76,132,132,0,2,10
1188,1,1,1,1,132,132,1,1,26
1189,1,1,17,43,132,132,0,1,13
1190,1,2,5,13,132,132,1,2,37
1191,1,1,19,49,132,132,0,1,19
1192,1,2,22,58,132,132,0,2,42
1193,1,3,35,95,132,132,1,3,33
1194,0,0,26,71,132,132,0,2,50
1195,1,1,8,19,132,132,0,1,41
1196,1,2,31,84,132,132,1,2,55
1197,1,1,9,21,132,132,0,1,47
1198,1,2,13,32,132,132,0,2,69
1199,1,3,34,93,132,132,0,3,56
1200,1,3,27,73,132,132,0,3,75
1201,1,2,15,38,132,132,1,2,84
1202,1,1,16,42,132,132,0,1,82
1203,1,1,4,11,132,132,0,1,97
1204,1,1,12,31,132,132,1,1,90
1205,1,1,2,5,132,132,0,1,138
1206,1,1,14,36,132,132,0,1,105
1207,1,1,8,19,133,133,0,1,20
1208,0,0,20,54,133,133,0,2,21
1209,1,1,30,83,133,133,0,1,34
1210,1,2,22,58,133,133,0,2,43
1211,1,3,27,73,133,133,1,3,62
1212,1,2,21,55,133,133,0,2,60
1213,1,1,6,15,133,133,1,1,82
1214,1,1,9,21,133,133,0,1,70
1215,1,2,10,24,133,133,1,2,106
1216,1,1,3,7,133,133,0,1,96
1217,1,1,17,43,133,133,0,1,126
1218,1,1,18,46,133,133,0,1,105
1219,1,1,7,18,133,133,1,1,156
1220,1,1,2,5,133,133,0,1,122
1221,1,1,19,49,133,133,1,1,197
1222,1,1,14,36,133,133,0,1,146
1223,1,1,16,42,133,133,1,1,223
1224,1,1,4,11,133,133,0,1,160
1225,0,0,1,3,133,133,0,1,231
1226,1,1,12,31,133,133,1,1,178
1227,1,1,7,18,134,134,0,1,11
1228,1,2,32,87,134,134,0,2,7
1229,1,3,25,67,134,134,0,3,30
1230,1,3,29,78,134,134,0,3,30
1231,1,3,23,63,134,134,0,3,30
1232,1,3,35,95,134,134,0,3,30
1233,1,3,27,73,134,134,0,3,30
1234,1,3,24,66,134,134,0,3,30
1235,1,3,33,90,134,134,0,3,30
1236,1,3,34,93,134,134,0,3,30
1237,1,2,20,53,134,134,0,2,30
1238,1,1,17,43,134,134,0,1,30
1239,1,2,11,27,134,134,0,2,30
1240,1,1,12,31,134,134,0,1,30
1241,1,2,21,55,134,134,0,2,30
1242,1,2,13,32,134,134,0,2,30
1243,1,2,13,32,134,134,0,2,30
1244,1,2,5,13,134,134,0,2,30
1245,1,1,4,11,134,134,0,1,30
1246,1,2,26,69,134,134,0,2,30
1247,1,2,32,87,135,135,0,2,8
1248,1,3,24,66,135,135,0,3,15
1249,0,0,23,62,135,135,1,3,31
1250,1,2,10,24,135,135,0,2,22
1251,1,3,27,73,135,135,0,3,43
1252,0,0,25,68,135,135,0,3,53
1253,1,2,31,84,135,135,0,2,59
1254,1,3,29,78,135,135,0,3,67
1255,1,3,33,90,135,135,1,3,90
1256,1,2,22,58,135,135,0,2,84
1257,1,1,4,11,135,135,0,1,133
1258,1,1,30,83,135,135,0,1,92
